position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,yield_strength,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,current_time,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b,flowgofluxviscousheating
0.0,1106.0331291928771,0.95,285.85267641608755,2579462.301699123,24421.13102350713,1097.9110549670588,224761.86698063702,2998877.163635173,32.0,0.1,1423.15,160.63882163207282,9.185172834459616,756.0000000000001,16.930229745805953,1074.0323501074204,0.8798599456219999,7.110716090695009e-06,-0.001476108474184455,0.004817204301075269,1.0,1.499451335860434,0.12808517594780866,1593.8795491891542,2.9419999999999975,9.185172834459616,2787.0463935912053,170231.86393190591
10.0,1083.4520028227043,0.95,249.7562808111696,2378181.100760162,24451.498794797775,1073.3050449955988,218165.55083629835,2791028.2996000955,32.04051974403676,0.10007110716090696,1423.1352389152582,160.84060911251933,9.203796216447909,756.0000000000001,16.90881908888578,1045.811541146059,0.880002375297365,6.617880212037226e-06,-0.0013738010261595134,0.004817204301075269,1.590659438775617,1.3937611809274113,0.12808517594780866,1593.8795491891542,2.9419999999999975,9.203796216447909,2787.0463935912053,170230.14920883763
20.0,1136.1367672031006,0.95,167.39152050515156,861913.8574764212,7328.7767821182215,1115.8916189367142,68961.056932963,1506806.3152385335,9.603614990801908,0.10013728596302733,1423.1215009049965,161.0286964992875,9.221150840998062,756.0000000000001,56.41285624055952,1026.5908244146058,0.6528021425933926,3.572827870795365e-06,-0.0007416807856785021,0.004817204301075269,2.1820667953409867,2.5104198923319943,0.4391625389136164,1593.8795491891542,2.9419999999999975,9.221150840998062,9277.008512548224,568602.624047031
30.0,1089.8003573282886,0.95,197.3309589482846,1413044.8672087698,14192.316949581616,1073.2398025832579,126622.76882673439,1847662.9236120477,18.597797036101444,0.10017301424173529,1423.1140840971398,161.13035479276294,9.230528992604048,756.0000000000001,29.130727193878347,1021.8418986437354,0.8023356057703718,4.381041891420097e-06,-0.0009094573569242611,0.004817204301075269,2.3593313528623665,1.5895892495415778,0.22181738529446332,1593.8795491891542,2.9419999999999975,9.230528992604048,4800.2268859956675,293802.9706269617
40.0,1039.3086285424288,0.95,267.1918795425109,3697364.164683634,44894.5014052262,1030.6203200929358,378667.1925256297,4213875.218171968,58.83116274247094,0.10021682466064949,1423.1049895235706,161.25511918420196,9.242037036832615,756.0000000000001,9.208849980363926,1013.5826434939165,0.9327492174504252,9.991629761092e-06,-0.0020741552852266876,0.004817204301075269,2.70261148910632,1.146035091457891,0.07009346995764348,1593.8795491891542,2.9419999999999975,9.242037036832615,1528.1125817667996,92949.35955747854
50.0,1019.1990888820982,0.95,250.38020441858185,3762011.889379667,49391.163148402826,1009.8399874812956,404868.9124300012,4300905.663995262,64.72579487543555,0.1003167409582604,1423.0842479707183,161.5401166950257,9.268317711574435,756.0000000000001,8.370192330714808,993.0465535322107,0.9386818697656307,1.0197989927823839e-05,-0.0021169934448384306,0.004817204301075269,3.7885234131058474,1.0631785377696092,0.06387241837183488,1593.8795491891542,2.9419999999999975,9.268317711574435,1392.6804962014837,84633.6990371916
60.0,1006.4307164954558,0.95,230.7862393806079,3365805.186067247,46473.405039416735,995.5114012229947,373347.38748216117,3875732.6633726642,60.904134909034624,0.10041872085753864,1423.0630780362699,161.83165186306573,9.295191149954217,756.0000000000001,8.895411660882548,976.3807086558526,0.934962074866435,9.189851103894343e-06,-0.0019077146264780667,0.004817204301075269,4.98323909046305,1.0181944160405514,0.06796957879089156,1593.8795491891542,2.9419999999999975,9.295191149954217,1481.8819271990458,90106.68478383982
70.0,971.5430008411691,0.95,364.9656289874613,13192998.301091893,209765.32513434323,967.3047802063951,1617536.3621338261,15040294.970807029,274.9088573934445,0.10051061936857758,1423.044000890005,162.09493213925407,9.31945125820716,756.0000000000001,1.9707162475686366,964.0123181003324,0.985211820406064,3.566243684622202e-05,-0.007403139791738053,0.004817204301075269,6.1074141574782015,0.8753692722360045,0.015570431322891813,1593.8795491891542,2.9419999999999975,9.31945125820716,339.71644144005836,19994.98244696667
80.0,953.0304067785098,0.95,215.68843131515632,4090613.0833098055,70234.45266234629,941.9747488542738,521300.1126147818,4742236.986942358,92.05655324812057,0.1008672437370398,1422.9699694920876,163.12172638939003,9.413985044355357,756.0000000000001,5.8851579029421375,927.2411911153096,0.9564834492073139,1.1244442172504511e-05,-0.0023342257188458024,0.004817204301075269,11.181711389430017,0.82423721619097,0.04552865886752408,1593.8795491891542,2.9419999999999975,9.413985044355357,993.0435156703106,60089.338355425214
90.0,939.4300569829232,0.95,220.06358360565676,5058850.668587047,91995.64781136662,929.9276529790264,670163.7083507576,5866975.349239521,120.5833625812771,0.10097968815876485,1422.946627234899,163.44716710725322,9.44392029327312,756.0000000000001,4.492886417067874,918.6398755097529,0.966604154705228,1.3911338725517625e-05,-0.0028878448693596855,0.004817204301075269,12.880901141841036,0.7784855392887168,0.03497639820996636,1593.8795491891542,2.9419999999999975,9.44392029327312,762.9920336449012,45965.32449034971
100.0,1000.5044465733595,0.95,180.10419395745592,1288631.144654497,18214.047167426714,969.261511998561,140886.66821517987,1680457.0241195494,23.875136697683452,0.10111880154602003,1422.9177487862055,163.85092178584713,9.481040857975291,756.0000000000001,22.691696333548403,908.9488396586696,0.8423588024925532,3.984575609173572e-06,-0.0008271552045829066,0.004817204301075269,15.10664180646397,1.1261732833865652,0.1753129128421492,1593.8795491891542,2.9419999999999975,9.481040857975291,3805.576420853519,232725.16408244582
110.0,950.110478900849,0.95,196.43586771292314,2564520.055777154,44571.58364824395,932.5239305249847,326034.55347992945,3030294.695417747,58.42557612275091,0.10115864730211177,1422.9094772341596,163.96679819898384,9.49169059283723,756.0000000000001,9.272777229060585,907.2005293236338,0.9322985379941959,7.1852110221597815e-06,-0.0014915728237965616,0.004817204301075269,15.547331645293495,0.8298613509591811,0.07177177856636122,1593.8795491891542,2.9419999999999975,9.49169059283723,1564.6393931835994,95168.5025124196
120.0,909.3571525139233,0.95,280.225181064121,16534486.407907574,342445.28327521606,905.2494634478849,2398135.936334593,19287469.97601636,448.896373602191,0.10123049941233336,1422.8945615059215,164.1760129608245,9.510914417297398,756.0000000000001,1.2068873435495853,903.1229493406628,0.9909174296879782,4.573302460345157e-05,-0.009493685910984366,0.004817204301075269,16.625757207881186,0.6874685621761227,0.00991381921717819,1593.8795491891542,2.9419999999999975,9.510914417297398,216.3053953753313,12402.348498981197
130.0,997.5403596205527,0.95,174.30157973870675,1056701.8956956454,15111.429500494594,956.5016639842065,114702.64771328704,1469821.548134251,19.8117992540839,0.10168782965836788,1422.7996246468117,165.5155177590632,9.633864469289378,756.0000000000001,27.34569157085081,878.5362823896382,0.8132364069269651,3.4851323220252907e-06,-0.0007234761293490001,0.004817204301075269,24.91153471101493,1.1870373055230434,0.21381819226672294,1593.8795491891542,2.9419999999999975,9.633864469289378,4629.817497970729,283305.5752248241
