position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,flowgofluxviscousheating,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,yield_strength,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,current_time,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,1278.3600943266379,0.85,2561.0383617746334,4118743.8492676755,81940.44513195031,1240.8082544420417,51976.36521261525,251944.41701471686,4504605.076626958,32.0,0.1,1473.15,69.59940990034323,9.185172834459616,2700.0,23.06928602246786,1074.0323501074204,0.554372050525937,2.977016416022169e-06,-0.0023419195806041065,0.001271186440677966,1.0,3.2415847587944464,0.03890493651440824,1601.1930042474476,2.168999999999998,9.185172834459616,2234.536594496231
10.0,1270.9530330052396,0.85,2563.635176231161,4063205.5896664606,82731.30753529847,1228.9163444068802,51810.60581422086,249640.23053288247,4447387.733548863,32.31088140143078,0.10002977016416023,1473.126580804194,69.63285794132281,9.192971914294121,2700.0,22.84732327624718,1052.1376570337911,0.5553030890339202,2.9392024530382686e-06,-0.0023121725963901048,0.001271186440677966,1.433476787719425,3.1696172868122714,0.03855134847810199,1601.1930042474476,2.168999999999998,9.192971914294121,2214.2380868495516
20.0,1263.1396297338092,0.85,2712.4693935486866,4277152.081112872,89256.82502713182,1217.5157843078093,55206.92515774595,231484.61852226662,4653100.4498200165,34.861595893494375,0.10005916218869061,1473.1034590782301,69.66589857886687,9.200676153178769,2700.0,21.175655726556464,1035.936663949883,0.5623654344011142,3.075154467233996e-06,-0.002419121514224077,0.001271186440677966,1.8711648214155352,3.0735890607549012,0.03576404702779414,1601.1930042474476,2.168999999999998,9.200676153178769,2054.217359270448
30.0,1256.25433511649,0.85,2873.932059805842,4513046.236904106,96255.04802059683,1207.4598915470042,58879.35601373061,214747.1763239138,4882927.817262347,37.59737330986982,0.10008991373336296,1473.0792678630878,69.7004860756333,9.208741242021699,2700.0,19.6348065763727,1022.2537152120406,0.5689546315563698,3.227043441758552e-06,-0.002538607507516728,0.001271186440677966,2.3434052152494305,2.9907040430051133,0.03319473888239422,1601.1930042474476,2.168999999999998,9.208741242021699,1906.697599724032
40.0,1249.3939723322972,0.85,3096.7400376588,4852991.871764361,105790.43716371902,1197.7046283157053,64012.87606483023,195479.50736946156,5218274.692362372,41.324723251895676,0.10012218416778054,1473.0538817880126,69.73680236462206,9.217209625520669,2700.0,17.863813587308357,1010.2963922423319,0.5766234214464976,3.448668453330501e-06,-0.0027129525166199944,0.001271186440677966,2.852704859282256,2.9078206816871193,0.030237273124182323,1601.1930042474476,2.168999999999998,9.217209625520669,1736.8758058361288
50.0,1244.6535282045954,0.85,3203.958338817887,4993044.899308967,110503.10017207713,1190.2912842896228,66310.7066991713,187233.42182811024,5357092.1280083265,43.168761459947966,0.10015667085231385,1473.0267522628465,69.77563591105493,9.226265190943607,2700.0,17.100725796914286,999.4022535431171,0.5799595431951534,3.5404105212184053e-06,-0.002785122943358479,0.001271186440677966,3.4124957433018177,2.857657425904091,0.02897177513085378,1601.1930042474476,2.168999999999998,9.226265190943607,1664.204424769455
60.0,1240.4160723431505,0.85,3312.100606040399,5136379.557543529,115228.00205206485,1183.628639112464,68627.62729553926,179645.19196959079,5499880.378860725,45.017936561249,0.10019207495752604,1472.998901033413,69.81552741048128,9.235567669527203,2700.0,16.398289417698933,989.785519445914,0.5830475634719816,3.6347768329309038e-06,-0.002859357775238978,0.001271186440677966,3.9972662447857044,2.8133145808269897,0.027807302298235585,1601.1930042474476,2.168999999999998,9.235567669527203,1597.3320689523384
70.0,1237.3371431191945,0.85,3353.3293106994606,5169530.7282396015,117121.3553811568,1178.344068429646,69338.49438739986,176831.2831872057,5532821.861195364,45.76115068264323,0.10022842272585535,1472.9703074556605,69.85650843899967,9.24512443911762,2700.0,16.13196219296492,981.152666086131,0.5842226737607704,3.656547294938143e-06,-0.002876483872018006,0.001271186440677966,4.607085948858425,2.784199744324069,0.027375655304160685,1601.1930042474476,2.168999999999998,9.24512443911762,1572.5432572737254
80.0,1236.849183285882,0.85,3207.250862107704,4896726.947873807,111107.29484368328,1175.937838772656,65600.75616003836,186498.5728650181,5259933.571742546,43.41471119749467,0.10026498819880472,1472.9415426169403,69.8977617854767,9.254744934362197,2700.0,17.003848058802053,973.4773101771049,0.5803844586549721,3.4762000938801605e-06,-0.00273461074051906,0.001271186440677966,5.226973342616449,2.7899343319052554,0.02885972550483899,1601.1930042474476,2.168999999999998,9.254744934362197,1657.7698307930646
90.0,1237.6832839872486,0.85,3012.0181233119833,4551936.154695158,102998.25978451622,1175.1954863506128,60765.26598213603,201279.76515501257,4916979.445616823,40.249090914597666,0.10029975019974352,1472.914196509535,69.9370054456245,9.263896963611234,2700.0,18.341213079454487,966.9945998531311,0.5745460577020167,3.24954758027439e-06,-0.002556310763149187,0.001271186440677966,5.815075516043216,2.813150424253329,0.031128833272255754,1601.1930042474476,2.168999999999998,9.263896963611234,1788.072095964794
100.0,1238.0844729717282,0.85,2888.544981447176,4331950.751046666,97886.87351475729,1174.2595280276757,57691.19211525466,211886.68088611355,4699415.497562792,38.25431394420136,0.10033224567554626,1472.8886334019035,69.97371242201275,9.272457589078375,2700.0,19.2976184018292,961.5455268831271,0.5704068281866475,3.1057632897819517e-06,-0.002443200454628469,0.001271186440677966,6.360295723489681,2.828877003155749,0.03275728474738339,1601.1930042474476,2.168999999999998,9.272457589078375,1881.5793904983605
