position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,yield_strength,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,current_time,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b,flowgofluxviscousheating
0.0,1280.9760735197342,0.95,2374.275164645628,4641097.735770046,560142.9073943045,1253.5439290382333,263438.77502554195,5631689.478888242,32.0,0.1,1423.15,170.2900704790795,9.185172834459616,756.0000000000001,16.60821352994134,1074.0323501074204,0.4410022617576442,1.3349183648569117e-05,-0.008276493862112853,0.0016129032258064516,1.0,8.247466640473148,0.12808517594780866,1594.3884988743673,2.9999999999999973,9.185172834459616,2841.991563825158,167010.06069834906
10.0,1273.6390712423663,0.95,2361.644797790399,4551398.25348499,562026.2748088546,1241.492285974032,260974.30620621494,5541405.79514254,32.110914987744344,0.10013349183648569,1423.067235061379,170.87713986701405,9.22017157585739,756.0000000000001,16.550846749803437,1045.3753584984397,0.4411935627688035,1.3135177979522778e-05,-0.008143810347304123,0.0016129032258064516,1.6021117191184933,8.087217421061641,0.12808517594780866,1594.3884988743673,2.9999999999999973,9.22017157585739,2841.991563825158,167006.96064247904
20.0,1303.7396360674315,0.95,843.6937668729136,1501238.330047938,168825.9622929071,1273.685628709599,81112.04830448992,2308977.165074909,9.646716241860762,0.10026484361628092,1422.985796957906,171.4570585221845,9.25469369563741,756.0000000000001,55.09261593617775,1025.919024029692,0.32967519821745833,5.473128504773712e-06,-0.003393339672959702,0.0016129032258064516,2.2063104136728224,11.216877560601832,0.4391625389136164,1594.3884988743673,2.9999999999999973,9.25469369563741,9459.899910824157,557800.8244295742
30.0,1280.065374953371,0.95,1457.8075856570488,2703783.0581794535,327173.3228467255,1245.2876054668754,152562.61777702445,3471746.4826052156,18.695478148824805,0.10031957490132866,1422.9518635611762,171.69936161468164,9.269103022285552,756.0000000000001,28.427346373675423,1021.1120532358799,0.40330671821036995,8.229321156875984e-06,-0.00510217911726311,0.0016129032258064516,2.3878229418051684,8.702484781618317,0.22181738529446332,1594.3884988743673,2.9999999999999973,9.269103022285552,4894.860862674032,288227.4838020121
40.0,1257.069099872403,0.95,4126.03257255985,7964800.002238829,1036203.8788939265,1218.0904780400308,469162.1100509452,9561359.255663104,59.21498266944597,0.10040186811289742,1422.9008417700036,172.06442287283517,9.29079611054296,756.0000000000001,8.975141239589513,1012.7562169728,0.4671993455172077,2.266395210749257e-05,-0.014051650306645394,0.0016129032258064516,2.7395968945530162,7.566932769087822,0.07009346995764348,1594.3884988743673,2.9999999999999973,9.29079611054296,1558.2385266146837,91193.26447940347
50.0,1250.947142698044,0.95,4514.291127601686,8628768.09218998,1144520.5739723307,1207.7419028302709,512387.27980173007,10368708.78214268,65.41634797050803,0.10062850763397234,1422.7603252669371,173.07441822870697,9.350710378948088,756.0000000000001,8.124312185659232,992.0080949163033,0.470214182476865,2.457766861085503e-05,-0.01523815453873012,0.0016129032258064516,3.853785488699013,7.427971476357819,0.06387241837183488,1594.3884988743673,2.9999999999999973,9.350710378948088,1420.1364679144974,83032.83617863845
60.0,1247.578778955667,0.95,4267.363117416617,8069178.618199623,1081696.1965014571,1200.959211643913,480693.23985748854,9719966.426488949,61.83733282871897,0.10087428432008089,1422.6079437215499,174.17737009285116,9.415966831552787,756.0000000000001,8.594530337040942,975.1556945385606,0.4685456094748244,2.3039909670364474e-05,-0.014284743995625975,0.0016129032258064516,5.084658917917018,7.366239937636252,0.06796957879089156,1594.3884988743673,2.9999999999999973,9.415966831552787,1511.0964587345811,88398.37193037865
70.0,1235.4578071121812,0.95,18424.79790543612,35177930.401066676,4902627.643680376,1185.0399605623898,2140112.5642007007,42240287.5640031,280.3186213856394,0.10110468341678454,1422.4650962815936,175.21862127698995,9.477408392534786,756.0000000000001,1.8959241106818223,962.6267618688181,0.4928845224111819,0.00010012507936988787,-0.06207754920933048,0.0016129032258064516,6.248189629642093,7.0616593366804175,0.015570431322891813,1594.3884988743673,2.9999999999999973,9.477408392534786,346.41377441202417,19616.955055351522
80.0,1232.1841885220447,0.95,6410.825669235084,11890680.25043636,1673543.9247201036,1173.9232884806565,721817.7484128294,14344975.254928723,95.76294868759399,0.10210593421048342,1421.8443207895002,179.82713064241946,9.747441818072172,756.0000000000001,5.549775150428022,925.414953087948,0.47945584198294194,3.4002888445835636e-05,-0.021081790836418094,0.0016129032258064516,11.522662349124387,7.01995193462846,0.04552865886752408,1594.3884988743673,2.9999999999999973,9.747441818072172,1012.6208521451163,58933.3313594315
90.0,1228.2482794125008,0.95,8359.496707550723,15485933.500757195,2207044.27975491,1167.6043710842382,945206.7348673936,18683256.957432315,126.32405791931684,0.10244596309494178,1421.633502881136,181.42363750175815,9.840270126200059,756.0000000000001,4.207138701145653,916.5810516200137,0.4843472605091987,4.428621805465848e-05,-0.02745745519388826,0.0016129032258064516,13.324537151066364,6.9310393428708,0.03497639820996636,1594.3884988743673,2.9999999999999973,9.840270126200059,778.0340247908578,45072.4420528157
