position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,flowgofluxviscousheating,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,yield_strength,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,current_time,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,1201.8477126149012,0.89,762.7419405560171,2000434.940215453,43295.46178890435,1173.972728339229,75334.55942739335,24968.698530675094,2144033.6599624255,18.999999999999996,0.127,1423.15,615.9711193177044,18.148552986972817,917.9999999999999,11.067212900990695,1074.0323501074204,0.6898023291109598,4.188241549252705e-06,-0.005193419521073355,0.0008064516129032258,1.0,3.448600771432797,0.03996570062332699,1593.269170865322,7.576999999999994,18.148552986972817,2726.3448445705294
10.0,1181.8971526043524,0.89,777.2758160283535,1979148.1584424009,45795.41147942118,1146.7251118278684,77180.04085583084,23630.319820198027,2125753.930597851,20.099557465257497,0.12704188241549252,1423.0980658047893,616.6900460525195,18.16562752808068,917.9999999999999,10.46177486655074,1034.8927153660557,0.6929668680111225,4.1525331910009295e-06,-0.005149141156841152,0.0008064516129032258,1.9035698589574288,3.2321493323377664,0.03784417240548949,1593.269170865322,7.576999999999994,18.16562752808068,2581.6913428939115
20.0,1170.580216234408,0.89,768.7815857805268,1906649.7953051038,45843.28799061151,1130.1849956984754,75742.13279803187,23630.08478190974,2051865.300875657,20.12301940456599,0.12708340774740254,1423.046574393221,617.4037588831688,18.18256683182085,917.9999999999999,10.449577217577524,1010.1532113952727,0.6930307723610641,4.0081961711123214e-06,-0.004970163252179279,0.0008064516129032258,2.859430611798979,3.1161662812568163,0.03784417240548949,1593.269170865322,7.576999999999994,18.18256683182085,2581.6913428939115
30.0,1158.7385336273467,0.89,890.62870403271,2199087.1973494915,55062.91170008062,1114.7293463822455,89270.2883248904,19693.17624660617,2363113.5736210686,24.172834926119002,0.12712348970911366,1422.996872760699,618.0935297808504,18.198927111856243,917.9999999999999,8.698898816026606,992.6006923447727,0.7022640911365297,4.616201060395784e-06,-0.005724089314890772,0.0008064516129032258,3.8164071278611527,2.987596425848033,0.03160379627240344,1593.269170865322,7.576999999999994,18.198927111856243,2156.134910566963
40.0,1150.7038794313696,0.89,924.2477692092848,2247161.355712207,57846.84751061224,1102.9861492072175,92427.15779010307,18767.00754000051,2416202.3685529227,25.39843067566147,0.1271696517197176,1422.9396318675501,618.8889876726897,18.21778097942515,917.9999999999999,8.279135345174108,976.5916803176991,0.704496204151619,4.719906846776603e-06,-0.005852684490002987,0.0008064516129032258,4.965977919692445,2.907310021520162,0.03013624796928974,1593.269170865322,7.576999999999994,18.21778097942515,2056.0440608208064
50.0,1144.1821796224367,0.89,954.0743612508608,2289193.434563095,60275.58290916521,1093.2608280532631,95139.35185522778,18032.02028786525,2462640.3896153537,26.468462111373153,0.12721685078818537,1422.88110502265,619.7034858881117,18.237071575372923,917.9999999999999,7.944437581376134,963.3546620862903,0.70628105870078,4.8106207440958045e-06,-0.005965169722678798,0.0008064516129032258,6.17383352092126,2.8433951114481895,0.028971775130853784,1593.269170865322,7.576999999999994,18.237071575372923,1976.6206339338755
60.0,1138.5594693292294,0.89,987.334789238894,2343043.8834464555,62912.35221433462,1084.8236358954978,98245.03224576358,17297.00298050397,2521498.2708870578,27.63022862962525,0.12726495699562632,1422.8214533254231,620.5348574102582,18.25674662729752,917.9999999999999,7.610398304607701,952.0728409807172,0.7080669103324106,4.925596095670954e-06,-0.0061077391586319835,0.0008064516129032258,7.432575867068286,2.788939664270335,0.02780730229241782,1593.269170865322,7.576999999999994,18.25674662729752,1897.1945267556139
70.0,1133.5591966458296,0.89,1024.1308233860166,2407630.6333189956,65785.27300201281,1077.2924636674823,101747.21203113135,16561.955249454575,2591725.0736015937,28.896149521204432,0.12731421295658302,1422.7603759338367,621.38737623674,18.276906256240878,917.9999999999999,7.276991869263368,942.1750785386536,0.709853881391719,5.062779955464157e-06,-0.006277847144775555,0.0008064516129032258,8.746567540006813,2.7410305577405976,0.026642829471435148,1593.269170865322,7.576999999999994,18.276906256240878,1817.76584817808
80.0,1130.7113989125617,0.89,989.9311699930574,2296466.0096860803,63372.973362728,1071.9640397214323,97349.7346099724,17214.11292988533,2474402.830588666,27.84068231125024,0.12736484075613766,1422.697597462389,622.2649878248461,18.297642478895504,917.9999999999999,7.552869673522749,933.3025019916964,0.7083749272560831,4.833597969185602e-06,-0.005993661481790147,0.0008064516129032258,10.120761737232469,2.716160642350453,0.027676834148629093,1593.269170865322,7.576999999999994,18.297642478895504,1888.295422057205
90.0,1131.241953480911,0.89,866.8151881830479,1972586.1344013717,54325.4737384681,1070.1037886126278,83259.49998059424,20105.223352301247,2130276.3314727354,23.8693667927282,0.12741317673582953,1422.6376608475712,623.1041499409754,18.31745432494749,917.9999999999999,8.809494065962573,925.827403914646,0.7016771734622176,4.161367430686747e-06,-0.005160095614051566,0.0008064516129032258,11.444761810351151,2.727469901507206,0.03225951289445273,1593.269170865322,7.576999999999994,18.31745432494749,2200.855108118392
