position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,flowgofluxviscousheating,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,yield_strength,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,current_time,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,1266.5618023913898,0.85,3247.798590972926,3968784.4076252333,48579.11470561313,1121.4448276939386,226544.79207078356,228471.1759400958,4472379.490341726,32.0,0.1,1473.15,67.55851910266472,9.185172834459616,2430.0,22.63695322151043,623.0,0.42135374575461443,3.2966972277542938e-06,-0.0025934018191667114,0.001271186440677966,1.0,3.522402939903414,0.03996570062332699,1595.0902718005093,2.2019999999999977,9.185172834459616,2097.3185930214013
10.0,1264.5206182573927,0.85,3409.182266363607,4168222.020597435,51348.95010632422,1118.334002794526,238550.61305496353,216267.44930286217,4674389.033061585,33.825575868403384,0.10003296697227755,1473.1240659818084,67.59819241645121,9.19380965841719,2430.0,21.4152304725426,623.0,0.4252634911740589,3.4456032633227536e-06,-0.0027105412338138996,0.001271186440677966,1.4417555623385592,3.4828119136472786,0.03784417240548949,1595.0902718005093,2.2019999999999977,9.19380965841719,1986.039757838021
20.0,1264.4753543038926,0.85,3410.3082668003726,4170212.0373231014,51379.1835725271,1118.2832683752897,238683.69135566236,216265.96363085866,4676540.87588215,33.84657100969291,0.10006742300491078,1473.0969605694702,67.63968516666858,9.202842234202125,2430.0,21.401946533398807,623.0,0.4253062010766142,3.447189437813634e-06,-0.0027117890244133924,0.001271186440677966,1.9087129463751884,3.4822538226211877,0.03784417240548949,1595.0902718005093,2.2019999999999977,9.202842234202125,1986.039757838021
30.0,1258.3970311621645,0.85,4008.042329913852,4907794.389180777,61641.37290682312,1109.0576172009457,283096.4015993756,180366.48862446565,5432898.652311441,40.608190249703384,0.10010189489928892,1473.069842679226,67.68122512667945,9.211884740013971,2430.0,17.838335041134343,623.0,0.43692007582130055,4.004718732930387e-06,-0.0031503787365719047,0.001271186440677966,2.375960165425778,3.3718506845661085,0.03160379627240344,1595.0902718005093,2.2019999999999977,9.211884740013971,1658.6683251021302
40.0,1256.8932003925554,0.85,4185.8874041947365,5127957.592342283,64712.995864957586,1106.8082219807363,296377.2730113139,171921.55528928502,5660969.416507839,42.63329833771091,0.10014194208661822,1473.0383388918603,67.72951886051985,9.222396982165655,2430.0,16.991003073472914,623.0,0.4397278950130942,4.1728351143067405e-06,-0.0032826302899213026,0.001271186440677966,2.9365506004041815,3.346510880707688,0.03013624796928974,1595.0902718005093,2.2019999999999977,9.222396982165655,1581.6705819215556
50.0,1255.6791423343495,0.85,4340.28923257088,5319321.911071649,67385.33133426796,1105.0018556429593,307928.2229385771,165219.95704282954,5859855.422387322,44.39556294211839,0.10018367043776129,1473.0055125889612,67.77988037742037,9.233358818354072,2430.0,16.3165518147109,623.0,0.4419757280708306,4.319438716625808e-06,-0.0033979584570789697,0.001271186440677966,3.5250973717017766,3.3265779137498463,0.028971775130853784,1595.0902718005093,2.2019999999999977,9.233358818354072,1520.5718437105145
60.0,1254.455701357917,0.85,4507.736370423328,5526889.469708171,70285.52859744709,1103.1863096821573,320460.19793644705,158518.06808125458,6076153.264323319,46.308154769550235,0.10022686482492754,1472.9715330043905,67.83205474089176,9.244714694790444,2430.0,15.642655309700418,623.0,0.44423318867467354,4.478876997169653e-06,-0.0035233832377734604,0.001271186440677966,4.137971961477789,3.306904170747988,0.02780730229241782,1595.0902718005093,2.2019999999999977,9.244714694790444,1459.4710436088606
70.0,1253.2227460191252,0.85,4689.963559346987,5752817.656243369,73443.943059978,1101.3615403677152,334103.88139816915,151815.89191632924,6312181.372617845,48.39110610025477,0.10027165359489924,1472.9362991720127,67.8862017317712,9.256499322929256,2430.0,14.969331380596818,623.0,0.44650024685577583,4.652858926021401e-06,-0.0036602490218035025,0.001271186440677966,4.777249616199155,3.287488832572919,0.026642829471435148,1595.0902718005093,2.2019999999999977,9.256499322929256,1398.368265384918
80.0,1254.2172591174897,0.85,4531.342295315859,5558140.9707338745,70730.7421173708,1102.876179054987,322391.21477892983,157763.42696688254,6109026.354597057,46.605425992530876,0.10031818218415946,1472.8996966817947,67.9425025464487,9.268752064365833,2430.0,15.542879131808073,623.0,0.4445684036922693,4.5031085333814575e-06,-0.0035424453795934135,0.001271186440677966,5.445282125183621,3.3035880219631437,0.027676834148629093,1595.0902718005093,2.2019999999999977,9.268752064365833,1452.6251533017755
90.0,1258.720072621285,0.85,3944.668021012679,4834939.79114217,60649.34079711953,1109.6842439110924,278826.3023196313,184127.57361614195,5358543.007875063,39.96432242360906,0.10036321326949327,1472.8642722279988,67.99704037910767,9.280620493513549,2430.0,18.12572962979606,623.0,0.4359718087467942,3.949909420033158e-06,-0.0031072620770927514,0.001271186440677966,6.088663567913577,3.379283537898104,0.03225951289445273,1595.0902718005093,2.2019999999999977,9.280620493513549,1693.0706135708795
100.0,1259.831604428949,0.85,3819.615047634079,4681351.916349828,58513.6327239949,1111.3890751896613,269591.26712983585,190975.5019319694,5200432.318135628,38.558427101060005,0.1004027123636936,1472.833199607228,68.04491808091421,9.291039037948178,2430.0,18.786619619876035,623.0,0.43379898304522063,3.833362272442493e-06,-0.003015578320988095,0.001271186440677966,6.640365496842356,3.3991513710208667,0.03345015277368544,1595.0902718005093,2.2019999999999977,9.291039037948178,1755.5358740117133
110.0,1258.919709867096,0.85,3914.627397189989,4799422.912589849,60161.30452689175,1110.0275655282305,276721.3521188233,185865.48646571528,5322171.055701279,39.64559169867391,0.10044104598641802,1472.803043824018,68.09141863946124,9.30115743858096,2430.0,18.27145142879942,623.0,0.4354917818998459,3.923098789549258e-06,-0.0030861710477787497,0.001271186440677966,7.1726592358085774,3.383329464027386,0.032562188574011997,1595.0902718005093,2.2019999999999977,9.30115743858096,1708.9503019253916
120.0,1260.7507148085833,0.85,3717.879538205,4557237.435242336,56792.28570714599,1112.8254767370527,262148.458884116,197021.91277433446,5073200.092607933,37.426807146946054,0.10048027697431351,1472.77218211354,68.13904403281397,9.311520120144461,2430.0,19.354643324081728,623.0,0.43194013182070784,3.7395763747824295e-06,-0.0029418000814955114,0.001271186440677966,7.719961131280222,3.416249478486011,0.034501795853019795,1595.0902718005093,2.2019999999999977,9.311520120144461,1810.706794250381
130.0,1262.1088766012012,0.85,3583.3629696873077,4391814.222526682,54493.69103090713,1114.9117527806372,252200.97696560647,205462.27294379915,4903971.163466995,35.91324856305914,0.10051767273806134,1472.7427641127251,68.18447571135025,9.321405021534872,2430.0,20.170341923159896,623.0,0.4292846906848161,3.614833708655917e-06,-0.0028436691841426547,0.001271186440677966,8.23663301370947,3.441466785630629,0.03596934413868019,1595.0902718005093,2.2019999999999977,9.321405021534872,1887.6934229733479
140.0,1263.0682825634578,0.85,3493.1594114196655,4281060.389889285,52956.47283179881,1116.3940579032264,245546.3441853569,211555.61674254094,4791118.823648982,34.90133597366668,0.10055382107514789,1472.7143274208836,68.22842365988127,9.330966671100324,2430.0,20.755151139053407,623.0,0.4273909447404575,3.5316475665525774e-06,-0.002778229419021361,0.001271186440677966,8.732410429783803,3.459754289445173,0.03702892766325966,1595.0902718005093,2.2019999999999977,9.330966671100324,1943.2759678345533
150.0,1263.5799456915424,0.85,3445.5656089499407,4222899.748863369,52150.76557638105,1117.1943343865491,242058.45438066003,214952.3183585993,4732061.28717901,34.37145274917201,0.10058913755081342,1472.6865451266933,68.27139042863539,9.340314440545855,2430.0,21.07512034404143,623.0,0.4263583494784917,3.4881148526630233e-06,-0.002743983684094912,0.001271186440677966,9.214218532890493,3.469787181863186,0.03761971964283768,1595.0902718005093,2.2019999999999977,9.340314440545855,1974.2661836678135
160.0,1262.8673135972288,0.85,3505.3064701653143,4297329.2952514645,53188.1069194953,1116.124928564952,246554.0599369462,210884.33519229066,4807955.797300197,35.05627432286589,0.10062401869934005,1472.6591052898523,68.31385686093395,9.349552959954476,2430.0,20.66341951848107,623.0,0.4276874393324291,3.5440585000343187e-06,-0.002787992686693664,0.001271186440677966,9.688711671565608,3.4565677499765006,0.03691275676801108,1595.0902718005093,2.2019999999999977,9.349552959954476,1937.1820996240926
170.0,1264.3490305338585,0.85,3375.015767134674,4136969.0283569945,50962.04993274759,1118.4080497717832,236912.24031803786,220227.79002101131,4645071.108628792,33.5901826508223,0.10065945928434039,1472.6312253629853,68.35703422186089,9.358945733357091,2430.0,21.565304083590643,623.0,0.4247812793161622,3.4239923243561865e-06,-0.0026935406284935336,0.001271186440677966,10.17265867709662,3.4852213628981343,0.03853743186260064,1595.0902718005093,2.2019999999999977,9.358945733357091,2022.403753330315
180.0,1266.7538699395195,0.85,3184.205078027704,3901765.8172015334,47699.19078370169,1122.1150387060154,222768.12507387987,235428.67425538498,4407661.8073145,31.44055878672152,0.10069369920758395,1472.6042899567003,68.39877739762353,9.368026122240078,2430.0,23.039746462593616,623.0,0.42007262591124966,3.2489922852995486e-06,-0.0025558739311023117,0.001271186440677966,10.63636649040815,3.5332012417769834,0.04118066086283478,1595.0902718005093,2.2019999999999977,9.368026122240078,2161.041718999385
190.0,1263.7571845528037,0.85,3419.536929255306,4193156.123361437,51747.83537280803,1117.538695291407,240321.24810045774,217128.4375248923,4702353.644359595,34.1102182135327,0.10072618913043695,1472.5787312173893,68.43841307599595,9.376647708096991,2430.0,21.23652503638767,623.0,0.425838415998488,3.4662166430103366e-06,-0.002726757092501465,0.001271186440677966,11.070399044378984,3.4744107157833004,0.0379990890167204,1595.0902718005093,2.2019999999999977,9.376647708096991,1994.1657844453284
200.0,1261.149665624436,0.85,3653.5371294655365,4483052.875386223,55782.64606549808,1113.5812413346064,257797.49127911267,201541.40141646625,4998174.414147301,36.77099317999163,0.10076085129686704,1472.5514636464643,68.4807266833691,9.385851411037716,2430.0,19.6998351266317,623.0,0.4308143887804821,3.6842731638796685e-06,-0.0028982948889186727,0.001271186440677966,11.541285876516799,3.4257558876034313,0.035289576146500114,1595.0902718005093,2.2019999999999977,9.385851411037716,1852.033731538451
210.0,1260.3356171898008,0.85,3730.851988262742,4579348.3416284975,57126.25999433904,1112.3635942917997,263615.7554054225,196923.75645608877,5097014.113484348,37.65796587474942,0.10079769402850584,1472.522480697575,68.52573383301943,9.395640548483719,2430.0,19.23583725944289,623.0,0.4323282634300381,3.75713025561354e-06,-0.002955609134415985,0.001271186440677966,12.048904338078502,3.411216978728925,0.034487138054362765,1595.0902718005093,2.2019999999999977,9.395640548483719,1809.9378357191772
220.0,1258.1911791827642,0.85,3957.1141752927583,4859910.099021235,61038.45481410325,1109.1333900554982,280544.40840126586,184419.25363432575,5385912.21587093,40.238307609224314,0.10083526533106198,1472.4929246062309,68.57166460224451,9.405630102209933,2430.0,18.002310388478534,623.0,0.43637878184291107,3.9700839137944e-06,-0.0031231326788515945,0.001271186440677966,12.568767334688696,3.3734162321452112,0.03231378727602895,1595.0902718005093,2.2019999999999977,9.405630102209933,1695.9180961748518
230.0,1256.9184149981213,0.85,4102.930106916785,5041103.950996137,63568.676514393104,1107.2315873625994,291488.9221138242,177197.7353153843,5573359.284939739,41.9078433644092,0.10087496617019992,1472.4616932794424,68.62023561530991,9.41619336428634,2430.0,17.285129582772214,623.0,0.43875120393005396,4.10825560389456e-06,-0.0032318277417303872,0.001271186440677966,13.124251591109472,3.35175367830047,0.031058855244192603,1595.0902718005093,2.2019999999999977,9.41619336428634,1630.0773544860288
240.0,1253.2774286077322,0.85,4595.9080825810315,5651974.288235356,72100.89481663393,1101.778604857856,328362.98968875845,156337.22445599543,6208775.397196745,47.534542714748966,0.10091604872623887,1472.4293750020252,68.67053700221808,9.42713238017517,2430.0,15.239075874470823,623.0,0.4455906408041711,4.576635923648692e-06,-0.0036002869266036383,0.001271186440677966,13.702783557104498,3.2919027386626927,0.027433491373323685,1595.0902718005093,2.2019999999999977,9.42713238017517,1439.8564688819931
250.0,1249.5479816609213,0.85,5240.047465639985,6450340.713995243,83268.7121002864,1096.2345179620547,376583.2382998668,135474.4341474299,7045667.098542826,54.89956725465821,0.10096181508547536,1472.3933721327592,68.72662111214409,9.439328274657203,2430.0,13.194685118886254,623.0,0.4525310044541376,5.193528689058319e-06,-0.004085575902059211,0.001271186440677966,14.358991327337629,3.2344732534188574,0.023808127502454774,1595.0902718005093,2.2019999999999977,9.439328274657203,1249.6166588861502
260.0,1251.8331998155377,0.85,4814.262293728768,5924605.898020197,75921.30373351017,1099.6683745611404,344871.29267373664,148715.76909593111,6494114.263523375,50.05778410196692,0.10101375037236594,1472.3525163737386,68.7903260881094,9.453180496795348,2430.0,14.470926272181327,623.0,0.4481858077196701,4.786965984329138e-06,-0.0037657465743389223,0.001271186440677966,15.116872239985288,3.2696304622186765,0.026109675611594132,1595.0902718005093,2.2019999999999977,9.453180496795348,1370.391721663805
270.0,1251.7787624110856,0.85,4816.625363934302,5928720.414061578,75983.87719268068,1099.6118411395287,345146.11468936416,148713.66718159057,6498564.073125213,50.10126247117199,0.10106162003220924,1472.3148589079951,68.84910175037318,9.465960032214086,2430.0,14.458368259784665,623.0,0.4482283598609038,4.790246044755606e-06,-0.003768326888541077,0.001271186440677966,15.807913007653617,3.2690314726665246,0.026109675611594132,1595.0902718005093,2.2019999999999977,9.465960032214086,1370.391721663805
280.0,1247.1182993997763,0.85,5743.756142622101,7078227.659540941,92075.78838517351,1092.704294304882,414599.58374619787,122822.7493912974,7707725.78106361,60.714431797520284,0.1011095224926568,1472.2771756391098,68.90797312675961,9.478759564556466,2430.0,11.930977226372054,623.0,0.4568750365896473,5.681547880629684e-06,-0.004469484332762019,0.001271186440677966,16.49955398817938,3.1995189472686203,0.021610692663973304,1595.0902718005093,2.2019999999999977,9.478759564556466,1134.2988139646939
290.0,1243.035417102221,0.85,6905.791023553021,8519654.795936871,112283.68490666553,1086.7114049408663,501745.6423961782,100814.97680769477,9234499.10004741,74.04334014457916,0.1011663379714631,1472.2324807957823,68.97787044048134,9.493955237844384,2430.0,9.78322292962316,623.0,0.4643538795918366,6.806968784417644e-06,-0.00535481544374188,0.001271186440677966,17.337708299453745,3.1432411939869462,0.01778694112656772,1595.0902718005093,2.2019999999999977,9.493955237844384,933.6217549667377
300.0,1240.4237147755728,0.85,7922.80059312548,9782574.334569477,130009.23396233897,1082.9186768940986,578151.7349580647,87170.13352026729,10577905.437010147,85.7375224521877,0.10123440765930727,1472.1789326413448,69.06171622785145,9.512181770620636,2430.0,8.448838762425076,623.0,0.4690619631819528,7.797225527249235e-06,-0.006133817414769398,0.001271186440677966,18.3598663420473,3.1094180601324997,0.01541659548934691,1595.0902718005093,2.2019999999999977,9.512181770620636,809.2148975839773
