position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,current_time,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,773.4289764136507,0.95,0.45615413990343734,770989.406483331,11082.815792858366,772.0319255642025,167183.77925466705,949256.0015308564,40.0,0.104,1223.15,924112.2490390905,972.0,0.06699150530069008,773.15,0.9994936724470074,0.0001395075409837714,-0.06224278413356302,0.00224134480688413,1.0,0.2501842681927977,0.35722987961774044,20.000983822574014,7.463999999999993,3.2098928786365564,24887.31911177314
10.0,773.3541590497675,0.95,0.5893054186728303,1050079.793860902,15079.638794282277,771.9874273135346,227769.58243883285,1292929.0150940171,54.50068183136976,0.10539507540983771,1222.5275721586645,983002.6051575782,972.0,0.04916746216714727,773.15,0.9996283630601381,0.0001900154934722028,-0.0847774482929105,0.00224134480688413,150.27265710951252,0.25009751889413767,0.27652384528220664,20.000983822574014,7.463999999999993,3.235162546568056,19430.794624519574
20.0,773.2830626920746,0.95,0.8540836779309647,1604065.2757979943,23000.130061275788,771.9451040508136,348030.08206808445,1975095.4879273546,83.28396285230217,0.10729523034455973,1221.6797976757355,1070429.8393371634,972.0,0.03217498447786135,773.15,0.9997567866984989,0.00029027018452822573,-0.1295071528649593,0.00224134480688413,353.65919689072996,0.250013437992125,0.19581781094667275,20.000983822574014,7.463999999999993,3.2705801064809092,13847.777037798762
30.0,773.2227769103362,0.95,1.4807695819611986,2913434.464153277,41667.08917702909,771.9091751892815,632270.3934991099,3587371.9468294163,151.31432148616898,0.11019793218984199,1220.384726147086,1222229.4972075208,972.0,0.017709230598324695,773.15,0.9998661271784427,0.0005272186197287566,-0.23522423596291048,0.00224134480688413,664.4596576300569,0.24993841421891533,0.1226120357245851,20.000983822574014,7.463999999999993,3.3289702740973794,8704.64940778927
40.0,773.2716079396514,0.95,0.9069644366310818,1723236.9802836955,24509.418078287323,771.9386821694094,373903.61199977336,2121650.010361756,89.47672575604551,0.11547011838712955,1218.0324837874568,1567837.4276881157,972.0,0.029948125497278287,773.15,0.9997736177995589,0.00031180859040809596,-0.13911674341689784,0.00224134480688413,1229.1369283041429,0.24997714143731517,0.26844944499524714,20.000983822574014,7.463999999999993,3.4850557714877,18877.330495066366
50.0,773.3108252515755,0.95,0.6994325783977513,1294012.3077258405,18343.327266131877,771.962466712496,280728.5191474601,1593084.1541394324,67.17619238795027,0.1185882042912105,1216.641316353288,1826383.8374078618,972.0,0.03989002824917876,773.15,0.99969847685368,0.00023412783544774808,-0.10445864229753549,0.00224134480688413,1563.0476433807446,0.250011491527173,0.42411137393113985,20.000983822574014,7.463999999999993,3.7032290111413313,29287.911301703825
60.0,773.3406294621784,0.95,0.598455986880241,1086008.2531244324,15356.128960681337,771.9806126449914,235575.84658389742,1336940.2286690113,56.3693661301051,0.12092948264568798,1215.5967299303127,2054002.7213794834,972.0,0.04753752607121267,773.15,0.9996406808734871,0.00019648360762861296,-0.087663266725016,0.00224134480688413,1813.7368616869733,0.2500376896456871,0.5841653282688433,20.000983822574014,7.463999999999993,4.085708623686029,39251.38898008344
70.0,773.3311228769903,0.95,0.6223830727896839,1137906.6796662952,16058.881479941261,771.9750285230683,246842.8612816199,1400808.4224278564,59.066063424087154,0.12289431872197411,1214.7200972630626,2271293.0976944687,972.0,0.04536717120942983,773.15,0.9996570829951377,0.00020587000565401632,-0.09185110877259998,0.00224134480688413,2024.0969882324669,0.25002149864775036,0.621201958153763,20.000983822574014,7.463999999999993,4.7732805324322,41422.81218358903
80.0,773.3101304430021,0.95,0.690039017994619,1281017.1996769765,18042.904322767838,771.9624852477124,277910.31483331695,1576970.4188330614,66.50181502700134,0.12495301877851427,1213.8015861753365,2528847.365818002,972.0,0.040294542501427916,773.15,0.9996954196527039,0.0002317596780855298,-0.1034020635172672,0.00224134480688413,2244.520694040279,0.24999233058791234,0.6133232988839136,20.000983822574014,7.463999999999993,6.308772583618551,40965.55144721605
90.0,773.2810246368025,0.95,0.8214506056720903,1557243.101743224,21885.3242401398,771.9450042907923,337874.6821602184,1917003.1081435822,80.85378187312833,0.12727061555936955,1212.7675655401638,2861464.6522555756,972.0,0.03314205161401591,773.15,0.9997494774758077,0.0002817326298112056,-0.12569803135416024,0.00224134480688413,2492.693259832424,0.24995343857518618,0.5654321316903775,20.000983822574014,7.463999999999993,10.33534268099454,38132.38773901826
100.0,773.249384955074,0.95,1.051586957805951,2039696.6664237843,28588.389918467943,771.9259507196929,442607.34593109606,2510892.4022733485,105.92063823313629,0.1300879418574816,1211.5105852266222,3338643.593012895,972.0,0.02529875439505515,773.15,0.9998087597055302,0.0003690136529567182,-0.16463939498435012,0.00224134480688413,2794.4247312712937,0.2499102970475729,0.4978004519321291,20.000983822574014,7.463999999999993,23.780346152683972,33984.03235916976
110.0,773.2257264181534,0.95,1.344732337705806,2654278.1087231054,37067.175531643705,771.911706672557,576022.8184410251,3267368.1026957743,137.85247887986824,0.13377807838704878,1209.8641912767787,4115619.658861676,972.0,0.01943860737072996,773.15,0.9998530549257625,0.00048018921003480347,-0.21424156094142086,0.00224134480688413,3189.7011090661854,0.24987345513795572,0.4708700463946551,20.000983822574014,7.463999999999993,88.49362090944985,32287.850483181755
