effective_cover_fraction,effective_radiation_temperature,slope,heat_budget,dtemp_dt,crystal_fraction,core_temperature,tho_b,dphi_dx,dphi_dtemp,flowgofluxforcedconvectionheat,tho_0,channel_depth,channel_width,viscosity,current_time,characteristic_surface_temperature,flowgofluxradiationheat,position,dtemp_dx,epsilon_effective,effusion_rate,mean_velocity,flowgofluxconductionheat,spectral_radiance,crust_temperature,density
0.9996588598231491,773.3379946333552,0.35722987961774044,945257.4255879705,0.16782575663612273,0.104,1223.15,36944.198252739334,0.00013890915637653595,0.00224134480688413,167164.83746127994,3.2098928786365564,11.079999999999991,40.0,3022894.46028131,1.0,771.9776686109783,770626.6912785051,0.0,-0.06197580842978127,0.95,20.002529273284285,0.045132060634666744,7465.896848185455,0.42784572675304977,773.15,972.0
0.9997481137530189,773.2883934123677,0.27652384528220664,1279963.5562956864,0.16778700419412992,0.10538909156376536,1222.5302419157024,28844.212813461534,0.00018809548910673723,0.00224134480688413,226394.5574350207,3.235053054368514,11.079999999999991,54.176106729625054,3196441.534707149,222.57197919562353,771.9481777017568,1043471.0946681603,10.0,-0.08392081777378269,0.95,20.002529273284285,0.03332248355158178,10097.904192505372,0.55824743987468,773.15,972.0
0.9998336536032606,773.2410211297188,0.19581781094667275,1937802.7024124814,0.16774926929236128,0.10727004645483273,1221.6910337379645,20556.45358772914,0.0002847674414711468,0.00224134480688413,342807.2860692259,3.2701005413383957,11.079999999999991,82.03844645585538,3449334.6252668984,522.6696590255326,771.9199840385896,1579732.7964887642,20.0,-0.12705204509208223,0.95,20.002529273284285,0.022005321935954582,15262.619854491155,0.8148609334354459,773.15,972.0
0.9999069486700566,773.2005964990013,0.1226120357245851,3463607.675447087,0.16771543865579386,0.1101177208695442,1220.4205132870436,12921.692850791143,0.0005089902572480488,0.00224134480688413,612822.8129520465,3.3272420461281094,11.079999999999991,146.66421377452852,3875691.0456805574,977.1051828094842,771.8958962052773,2823576.40593682,30.0,-0.22709145673825898,0.95,20.002529273284285,0.01230894966758549,27208.456558219925,1.4106301437688744,773.15,972.0
0.9998367923196352,773.2377294425178,0.26844944499524714,1974921.0519998148,0.16773640538509849,0.11520762344202469,1218.149598719661,28022.61815184021,0.00029022212343152246,0.00224134480688413,349399.2881148216,3.4736069868671064,11.079999999999991,83.61629398325519,4792832.117760573,1789.522185889292,771.9183134065154,1610088.4206665556,40.0,-0.12948570989172484,0.95,20.002529273284285,0.021590079389887714,15433.343218437723,0.826611688443338,773.15,972.0
0.9997762347485395,773.2694895874346,0.42411137393113985,1440575.1436423522,0.16775625216481177,0.11810984467633992,1216.8547416207439,43476.69576941029,0.00021169796976299238,0.00224134480688413,254843.90661199647,3.6556145377407443,11.079999999999991,60.98537651882847,5423764.360890528,2252.697879661116,771.937543771024,1174507.7125181044,50.0,-0.09445131740229225,0.95,20.002529273284285,0.029601890296263263,11223.524512251472,0.6166219964914851,773.15,972.0
0.9997263299388675,773.2954338617782,0.5841653282688433,1177967.4226853529,0.16777280298752334,0.12022682437396984,1215.910228446721,58267.06724267476,0.00017310677122952303,0.00224134480688413,208373.7755800605,3.9370259130582603,11.079999999999991,49.863209291643074,5943369.326049087,2590.514144092794,771.9532972746506,960436.539658768,60.0,-0.07723344069945774,0.95,20.002529273284285,0.03620469783298184,9157.107446524462,0.5131921703061206,773.15,972.0
0.9997322360929017,773.2917396768678,0.621201958153763,1203917.7552302827,0.167767782520227,0.12195789208626506,1215.1378940397265,61490.455385070534,0.00017692027081590768,0.00224134480688413,212969.627421374,4.383836508243858,11.079999999999991,50.96320855948472,6410492.223882704,2866.7213933876683,771.9511746244174,981605.337166876,70.0,-0.0789348743988474,0.95,20.002529273284285,0.035423248975376576,9342.790642032645,0.5227681245221724,773.15,972.0
0.9997551039810216,773.2791187160433,0.6133232988839136,1316260.212457986,0.16775606122824613,0.12372709479442413,1214.348545295738,60811.67069066905,0.00019342942010829272,0.00224134480688413,232855.29925086084,5.2552060908358795,11.079999999999991,55.72268574287924,6931640.447005038,3149.0218680547778,771.9436523617403,1073207.838701497,80.0,-0.08630060823938741,0.95,20.002529273284285,0.03239762049009573,10197.074505628068,0.5661312786608852,773.15,972.0
0.9997909334100142,773.2597487657499,0.5654321316903775,1541710.0351469647,0.1677390947319462,0.12566138899550705,1213.485539213344,56605.956075605885,0.00022656012485307246,0.00224134480688413,272759.86004950746,7.184804090162501,11.079999999999991,65.27350172741397,7557700.894441753,3457.6865122084155,771.9320343540662,1257028.6963039045,90.0,-0.10108222713310744,0.95,20.002529273284285,0.02765720204388048,11921.478793552842,0.653692483019501,773.15,972.0
0.9998318914672837,773.2377976129926,0.4978004519321291,1917151.5071884326,0.16771976973007885,0.12792699024403778,1212.474716942013,50447.89369501621,0.00028173267017066704,0.00224134480688413,339212.8202047825,12.30057577757232,11.079999999999991,81.17843702573704,8375258.236754622,3819.255986377717,771.918833131165,1563146.3836700555,100.0,-0.12569804936096637,0.95,20.002529273284285,0.022238447690417076,14792.303313594435,0.7998310401824423,773.15,972.0
0.9998598362507253,773.2227357381418,0.4708700463946551,2299206.2211944647,0.16770485196126278,0.13074431694574445,1211.2177364484032,47929.98169261172,0.0003378770564252848,0.00224134480688413,406840.49633998954,29.653367874628763,11.079999999999991,97.36453763056562,9538458.590356115,4268.927660372713,771.909790633786,1874674.7585772958,110.0,-0.1507474688354597,0.95,20.002529273284285,0.018541477927379774,17690.966277179225,0.9483989022158681,773.15,972.0
