viscosity,effective_radiation_temperature,position,density,heat_budget,tho_0,spectral_radiance,flowgofluxradiationheat,tho_b,channel_depth,flowgofluxforcedconvectionheat,epsilon_effective,dphi_dx,characteristic_surface_temperature,dtemp_dx,effusion_rate,current_time,dphi_dtemp,core_temperature,channel_width,dtemp_dt,flowgofluxconductionheat,effective_cover_fraction,slope,crystal_fraction,mean_velocity,crust_temperature
94370.84168520782,773.7463852704424,0.0,972.0,963201.5554707455,10.271028956630577,0.5549921755271753,772255.8165129354,11640.089900750272,3.490999999999997,167249.9105195704,0.95,0.00014144940600349976,772.221352239554,-0.06310916801781147,20.01620489179694,1.0,0.00224134480688413,1223.15,40.0,0.5427697096513981,23695.82843823971,0.9989169253266037,0.35722987961774044,0.104,0.1433414844729086,773.15
97593.03098974602,773.5988299243526,10.0,972.0,1275504.1725018779,10.674234734396348,0.6734615006713588,1022560.5218498309,9088.009650883954,3.490999999999997,221587.58587152846,0.95,0.0001873121015333076,772.1335339043858,-0.08357130101445878,20.01620489179694,70.7634745221994,0.00224134480688413,1222.518908319822,53.00528095762958,0.5424018496415356,31356.064780518747,0.9991825579433712,0.27652384528220664,0.10541449406003499,0.10817147414989865,773.15
102048.14597851346,773.4544978153205,20.0,972.0,1871759.2641604706,11.223796717939459,0.9006164839171785,1500466.3067334872,6476.767100610326,3.490999999999997,325333.5428545653,0.95,0.0002748741782997335,772.047571926452,-0.12263805972890791,20.01620489179694,163.20928871293972,0.00224134480688413,1221.6831953096773,77.83599943227696,0.5420357159968588,45959.414572418056,0.9994432602169947,0.19581781094667275,0.10728761507536806,0.0736633359979536,773.15
108997.38587678362,773.3278394323181,30.0,972.0,3184378.808708925,12.063014620332739,1.4023158345831315,2552616.742810525,4071.2662222122635,3.490999999999997,553737.8745468876,0.95,0.0004676367977436163,771.9720682239431,-0.208641167707576,20.01620489179694,298.96203279552924,0.00224134480688413,1220.4568147123882,132.50259075342169,0.5416999235648721,78024.19135151262,0.9996729167684891,0.1226120357245851,0.1100363568583654,0.043272054880695084,773.15
122051.44803199856,773.4913969867263,40.0,972.0,1641691.5411997535,13.582473073177525,0.803884862147928,1316313.5832715118,8829.14801155904,3.490999999999997,285364.58165785903,0.95,0.00024108795508556266,772.0707125653109,-0.10756397424665687,20.01620489179694,530.0580606493229,0.00224134480688413,1218.3704030353124,68.27013283744705,0.5420248921219966,40013.3762703827,0.9993652757784073,0.26844944499524714,0.11471272483580155,0.0839848868108743,773.15
129448.4472731601,773.6468418177884,50.0,972.0,1122146.1493259566,14.412094647247851,0.601425167559597,899905.9896525341,13698.29827897214,3.490999999999997,194972.78109620218,0.95,0.00016479095716752292,772.1646930793121,-0.0735232511576886,20.01620489179694,649.1271024701331,0.00224134480688413,1217.2947632928458,46.63580205240826,0.5423609244609539,27267.378577220425,0.9990709642662662,0.42411137393113985,0.11712360438665718,0.12294544377028163,773.15
134788.89579550264,773.7870737625022,60.0,972.0,872037.3448041425,14.997674127012276,0.5034322616328434,699438.0017545454,18358.333189907724,3.490999999999997,151456.61157808,0.95,0.00012806163334643975,772.2496533890693,-0.05713606980644282,20.01620489179694,730.463992177771,0.00224134480688413,1216.559530781269,36.220686596204665,0.5426712632572627,21142.731471517105,0.9988039835170959,0.5841653282688433,0.11877151395833241,0.1582979208217753,773.15
139107.1333308419,773.7995579851421,70.0,972.0,852793.1753791329,15.463249588342821,0.4946606741799775,684030.913552499,19373.93319036834,3.490999999999997,148113.23468453434,0.95,0.0001252355619818976,772.257544230138,-0.05587518778781629,20.01620489179694,793.6360158410434,0.00224134480688413,1215.9881700832045,35.42053820819439,0.5426839523870511,20649.027142099414,0.9987769820861531,0.621201958153763,0.1200521302917968,0.1618738638361482,773.15
143478.29175419203,773.7710733741917,80.0,972.0,889315.1330759225,15.92753182959803,0.5073855912228644,713330.7842374487,19160.06700190665,3.490999999999997,154474.84147949476,0.95,0.0001305989349882577,772.2406714088162,-0.05826811411931463,20.01620489179694,855.4125112122924,0.00224134480688413,1215.4294182053263,36.94318564450092,0.5425999623749928,21509.50735897909,0.9988273603294714,0.6133232988839136,0.12130448591161577,0.15520208338529715,773.15
148198.86904291605,773.7080770742091,90.0,972.0,986652.6538120791,16.42124329058162,0.5434637018404576,791391.4816025939,17834.96323645669,3.490999999999997,171421.52813190175,0.95,0.00014489327910739038,772.2029033178069,-0.06464568890175267,20.01620489179694,919.8446359742679,0.00224134480688413,1214.846737064133,40.99927569589986,0.5424335247685019,23839.644077583416,0.9989433091627204,0.5654321316903775,0.12261047526149835,0.1398478212504066,773.15
