position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,yield_strength,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,current_time,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,782.2050212188379,0.95,1.2377717626961289,90740.5852365963,20884.61848923825,776.1256781750035,18968.958048277233,130594.16177411178,4.5,0.104,1387.15,376.93722536761,10.271028956630577,1069.2,1.0974229478596964,773.15,0.9917378036345327,0.00011622689542127805,-0.019457627581687176,0.005973333333333333,1.0,1.2811948211430766,0.3283421976256475,3.0025491853441273,0.6079999999999995,10.271028956630577,2056.489775632983
10.0,779.6780258758419,0.95,1.2530849243858504,124912.1145476172,29114.752415679308,774.9235033930994,26386.715265385854,180413.58222868235,6.275332160035655,0.10516226895421278,1386.9554237241832,380.36822802558675,10.601499621520745,1069.2,0.78695487974625,773.15,0.9940682836193646,0.0001605654515440059,-0.026880376932590273,0.005973333333333333,10.112257055953675,1.269218627791227,0.23628702150406763,3.0025491853441273,0.6079999999999995,10.601499621520745,1492.8722114499626
20.0,778.9826835808558,0.95,1.2569903738461579,139396.49959261945,32592.685073930017,774.5953995424167,29531.58332036107,201520.76798691053,7.028036197048782,0.10676792346965285,1386.6866199548574,385.1676110816886,11.069281632220022,1069.2,0.7026718598066374,773.15,0.9947018855189305,0.0001793505383995914,-0.030025201741003028,0.005973333333333333,22.819465890117655,1.265871860905205,0.21363049285340846,3.0025491853441273,0.6079999999999995,11.069281632220022,1352.0300725957852
30.0,781.7857698939932,0.95,1.2302127727576249,94763.83321779009,21830.23822749007,775.9299486002386,19844.4851757795,136438.55662105966,4.709609632516672,0.10856142885364876,1386.3863679374474,390.611417764999,11.607401715164743,1069.2,1.0485801692081433,773.15,0.9921040718318708,0.00012142832142263184,-0.0203284020238781,0.005973333333333333,37.05085976257445,1.2789575540357556,0.32534722498266566,3.0025491853441273,0.6079999999999995,11.607401715164743,2038.4013084685969
40.0,781.7958055309549,0.95,1.2275437477605895,94583.6558346685,21780.390512942886,775.9359830978156,19805.984819055757,136170.03116666715,4.700413749289875,0.10977571206787508,1386.1830839172087,394.3475964039484,11.981199592630778,1069.2,1.0506316100608621,773.15,0.9920886855154408,0.00012118933769256576,-0.020288393586925073,0.005973333333333333,46.587565008060544,1.2789376571867734,0.32930227044370625,3.0025491853441273,0.6079999999999995,11.981199592630778,2062.2843445616586
50.0,777.7378163354542,0.95,1.266334516455892,176146.54458861478,41401.91397949267,774.0101440765529,37511.03799297098,255059.49656107844,8.93788162438469,0.11098760544480074,1385.9801999813394,398.1176563488523,12.361966801613793,1069.2,0.5525250247100479,773.15,0.9958316227158766,0.000226999224393237,-0.038002102297974946,0.005973333333333333,56.10564908647572,1.2598267506733425,0.17398000806558428,3.0025491853441273,0.6079999999999995,12.361966801613793,1103.9203062462782
60.0,778.7474851404098,0.95,1.2458319191720342,144565.6861220702,33782.23323640868,774.4884490625753,30656.89627301943,209004.81563149832,7.297463456918901,0.11325759768873311,1385.6001789583597,405.29200439977217,13.096143136329848,1069.2,0.6767287420516529,773.15,0.994896995502955,0.0001860112314282732,-0.031140273118572523,0.005973333333333333,74.20437684138196,1.2644110712805892,0.216990545828271,3.0025491853441273,0.6079999999999995,13.096143136329848,1372.9631006777759
70.0,780.8038388036497,0.95,1.2223786435057815,106194.66888912959,24542.7850481836,775.4672370177085,22328.871571173473,153066.32550848668,5.30430259712718,0.11511771000301585,1385.288776227174,411.2824821409811,13.718405714891839,1069.2,0.9310183902485658,773.15,0.9929862131910474,0.00013622679272727532,-0.02280582467532511,0.005973333333333333,88.98134636935382,1.2739585306507324,0.3041628819103655,3.0025491853441273,0.6079999999999995,13.718405714891839,1909.9434773715761
80.0,779.6161593366597,0.95,1.2292758678110203,125186.10405721123,29097.779732266066,774.9027707031114,26451.85009885254,180735.73388832982,6.291093365149396,0.11647997793028861,1385.0607179804206,415.7346323192389,14.186087552340906,1069.2,0.7849833055611249,773.15,0.994083100417796,0.0001608521618130331,-0.026928375303521167,0.005973333333333333,99.7222727621506,1.2682995035489164,0.25871389322865257,3.0025491853441273,0.6079999999999995,14.186087552340906,1631.5322755770899
90.0,780.0166289351868,0.95,1.2221852409320597,117893.6079276303,27334.47319162995,775.0945422708231,24869.72120906309,170097.80232832333,5.912459093747769,0.11808849954841893,1384.7914342273853,421.06352132041644,14.751488542729087,1069.2,0.8352536883664587,773.15,0.9937053767868926,0.00015138455819180686,-0.025343397018717666,0.005973333333333333,112.4613971857608,1.2700899501371667,0.2791976376051825,3.0025491853441273,0.6079999999999995,14.751488542729087,1757.463189582855
