viscosity,effective_radiation_temperature,position,density,heat_budget,tho_0,spectral_radiance,flowgofluxradiationheat,tho_b,channel_depth,flowgofluxforcedconvectionheat,epsilon_effective,dphi_dx,characteristic_surface_temperature,dtemp_dx,effusion_rate,current_time,dphi_dtemp,core_temperature,channel_width,dtemp_dt,flowgofluxconductionheat,effective_cover_fraction,slope,crystal_fraction,mean_velocity,crust_temperature
22205.807621847667,774.114902002721,0.0,972.0,979423.2186537219,10.271028956630577,0.669897399970834,773728.095153148,7188.780815244223,2.155999999999998,167326.7853382849,0.95,0.000143794712908529,772.4415527959568,-0.06415555182177853,20.02134125491783,1.0,0.00224134480688413,1223.15,40.0,0.8936550531688735,38368.338162288885,0.9982464217406208,0.35722987961774044,0.104,0.2321584097277116,773.15
22802.06795186767,773.8812668919502,10.0,972.0,1287701.787097036,10.681005235043866,0.784018745098276,1017112.3767163975,5612.646464424463,2.155999999999998,220162.9678718843,0.95,0.00018905484907937798,772.3023590423336,-0.08434884650443321,20.02134125491783,44.07403729948254,0.00224134480688413,1222.5084444817824,52.64594661655614,0.8927089126672999,50426.44250875398,0.9986673634242287,0.27652384528220664,0.10543794712908529,0.17639223883169936,773.15
23612.48170887082,773.6507938481361,20.0,972.0,1871645.3911040318,11.235991102289459,1.0017500399242125,1478160.843687462,3999.9741818722027,2.155999999999998,320250.58363100543,0.95,0.00027478694251328384,772.1649866249658,-0.12259913854811426,20.02134125491783,100.76587400518518,0.00224134480688413,1221.664956016738,76.60112139239968,0.8917599279576588,73233.96378556443,0.9990839227879451,0.19581781094667275,0.10732849561987907,0.12122977079588614,773.15
24846.415110704853,773.4466103762359,30.0,972.0,3139446.5919735394,12.075520712520191,1.4770419785639106,2479249.211600815,2514.365504179215,2.155999999999998,537571.8707896823,0.95,0.0004609200729435651,772.043206961574,-0.2056444289731246,20.02134125491783,183.25386300614554,0.00224134480688413,1220.4389646312568,128.6151585954247,0.8908825514095312,122625.50958304183,0.9994542980259642,0.1226120357245851,0.11007636504501192,0.07220250311489186,773.15
27075.483984830113,773.7357667460102,40.0,972.0,1573703.9195366683,13.573308611306302,0.8756148613127702,1243304.2569105148,5452.776600664935,2.155999999999998,269279.08829233696,0.95,0.00023104445453503964,772.2176691996265,-0.10308295886710656,20.02134125491783,321.75321647160024,0.00224134480688413,1218.3825203415256,64.40210524604028,0.8918308136364278,61120.574333816556,0.9989104944368205,0.26844944499524714,0.11468556577444758,0.14419305632372054,773.15
28273.36267603858,774.016118078504,50.0,972.0,1059117.4042550824,14.367384857165025,0.6765103590829136,837034.3446042928,8459.905783289581,2.155999999999998,181089.34374044123,0.95,0.00015549507116098966,772.3872835055681,-0.06937579201709514,20.02134125491783,391.10468355992873,0.00224134480688413,1217.3516907528544,43.29488553922775,0.8928263935672192,40993.71591034852,0.9983797667355001,0.42411137393113985,0.11699601031979798,0.2144903785620241,773.15
29111.719668155558,774.2731982661306,60.0,972.0,814089.2678743843,14.918422085617372,0.580886797204056,643567.6410017273,11337.88781364682,2.155999999999998,139093.93356222167,0.95,0.00011952109193084097,772.5431870335442,-0.05332561574807254,20.02134125491783,437.7268214247668,0.00224134480688413,1216.6579328326834,33.24379764566153,0.893759993255585,31427.693310435312,0.9978904147359513,0.5841653282688433,0.11855096103140787,0.27934041977061463,773.15
29774.373691067478,774.3057735932344,70.0,972.0,789008.3518782964,15.35117550954577,0.5693031828968703,623786.6770876027,11965.110271679787,2.155999999999998,134801.70179839962,0.95,0.00011583881950105543,772.5634713347306,-0.051682730450604834,20.02134125491783,473.52543591890867,0.00224134480688413,1216.1246766752026,32.216580367517246,0.8938438810020525,30419.972992294108,0.9978232244202029,0.621201958153763,0.11974617195071628,0.288247116334902,773.15
30432.18747242719,774.2654237529375,80.0,972.0,815325.4825249605,15.778298414005086,0.5772922038610793,644599.2333351931,11833.029062191557,2.155999999999998,139321.44812958367,0.95,0.00011970258765953859,772.5396132315569,-0.053406592012028076,20.02134125491783,508.21789052921406,0.00224134480688413,1215.6078493706966,33.29842243028687,0.8936487844573717,31404.80106018378,0.9978938717827549,0.6133232988839136,0.12090456014572684,0.27888217252784914,773.15
31128.47176465804,774.1623945889324,90.0,972.0,895693.0845439547,16.22770017155497,0.6057289445096277,708107.7566203931,11014.660767058327,2.155999999999998,153109.69395900622,0.95,0.00013150181401987873,772.477763837182,-0.05867094327297626,20.02134125491783,544.0753277736167,0.00224134480688413,1215.0737834505762,36.598594039965256,0.8932115505380357,34475.6339645553,0.9980836036624657,0.5654321316903775,0.12210158602232223,0.25373478497474217,773.15
